"","Date","six-month","two-yr","five-yr","thirty-yr"
"227","04-02-2014",8.93,8.825,9.015,9.147
"228","04-02-2019",6.26,6.484,6.869,7.711
"229","04-03-2008",7.05,7.549,7.745,8.018
"230","04-03-2013",7.83,7.716,7.955,8.161
"231","04-03-2014",8.9,8.855,9.034,9.248
"232","04-04-2008",7,7.677,7.856,8.555
"233","04-04-2012",8.6,8.367,8.64,9.05
"234","04-04-2013",7.82,7.722,7.967,8.227
"235","04-04-2014",8.9,8.749,9.075,9.418
"236","04-04-2016",6.85,7.179,7.465,7.899
"237","04-04-2018",6.32,6.792,7.218,7.617
"238","04-04-2019",6.24,6.572,6.986,7.549
"239","04-05-2010",4.2,6.147,7.227,8.548
"240","04-05-2011",7.5,7.589,7.981,8.609
"241","04-05-2012",8.6,8.367,8.64,8.997
"242","04-05-2016",6.79,7.178,7.493,7.849
"243","04-05-2017",5.85,6.483,6.831,7.5
"244","04-05-2018",6.29,6.746,7.093,7.96
"245","04-06-2009",4.45,5.321,6.751,7.653
"246","04-06-2010",4.2,6.13,7.227,8.475
"247","04-06-2015",7.83,7.813,7.723,8.134
"248","04-06-2018",6.3,6.736,7.103,8.174
"249","04-07-2008",7.2,7.744,7.884,9.454
"250","04-07-2011",7.45,7.58,7.962,8.661
"251","04-07-2014",8.89,8.78,9.092,8.699
"252","04-07-2016",6.85,7.132,7.428,7.725
"253","04-07-2017",6.11,6.569,7.012,7.173
"254","04-08-2008",7.25,7.728,7.865,9.737
"255","04-08-2009",4.2,5.15,6.569,7.913
"256","04-08-2010",4.2,6.117,7.201,8.429
"257","04-08-2011",7.35,7.595,7.978,8.71
"258","04-08-2012",8.6,8.367,8.64,8.657
"259","04-08-2015",7.93,7.812,7.805,8.057
"260","04-09-2008",7.25,7.699,7.835,9.178
"261","04-09-2009",4,5.086,6.393,8.237
"262","04-09-2012",8.65,8.385,8.632,8.624
"263","04-09-2013",7.82,7.634,7.854,9.004
"264","04-09-2014",8.94,8.754,9.034,8.779
"265","04-09-2015",7.86,7.772,7.755,7.987
"266","04-09-2018",6.25,6.779,7.15,8.318
"267","04-09-2019",6.27,6.659,7.129,6.983
"268","04-10-2012",8.6,8.375,8.627,8.423
"269","04-10-2013",7.81,7.645,7.756,9.254
"270","04-10-2017",6.09,6.548,7.023,7.31
"271","04-10-2018",6.27,6.846,7.281,8.383
"272","04-10-2019",6.33,6.646,7.129,7.124
"273","04-11-2008",7.3,7.894,7.987,8.246
"274","04-11-2011",7.5,7.633,8.005,9.004
"275","04-11-2013",7.81,7.645,7.756,9.084
"276","04-11-2016",6.84,7.147,7.374,7.273
"277","04-11-2019",6.34,6.664,7.124,7.175
"278","04-12-2012",8.5,8.3,8.538,8.451
